selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,0.25,0,15,0.0,-240.0003302041704,0.0,127.76947146009775,127.76947146009775,0.2305285399022523
leakage,0.5,0,15,0.0,-240.0003302041704,0.0,127.57946490830186,127.57946490830186,0.4205350916981416
leakage,1.0,0,15,0.0,-240.0003302041704,0.0,127.38109280382047,127.38109280382047,0.6189071961795349
leakage,2.0,0,15,0.0,-240.0003302041704,0.0,127.68489426961507,127.68489426961507,0.3151057303849285
leakage,4.0,0,15,0.0,-240.0003302041704,0.0,130.89124203922464,130.89124203922464,-2.891242039224636
leakage,8.0,0,15,0.0,-240.0003302041704,0.0,146.27593524635793,146.27593524635793,-18.275935246357932
uniform,0.0,0,15,0.0,-240.0003302041704,0.0,128.02114355382008,128.02114355382008,-0.021143553820081706
leakage,0.0,0,16,0.0,-256.00035221778177,0.0,128.02255312407473,128.02255312407473,-0.022553124074732978
leakage,0.25,0,16,0.0,-256.00035221778177,0.0,127.77088103035243,127.77088103035243,0.2291189696475726
leakage,0.5,0,16,0.0,-256.00035221778177,0.0,127.58087447855652,127.58087447855652,0.41912552144347615
leakage,1.0,0,16,0.0,-256.00035221778177,0.0,127.38250237407514,127.38250237407514,0.6174976259248552
leakage,2.0,0,16,0.0,-256.00035221778177,0.0,127.68630383986975,127.68630383986975,0.3136961601302488
leakage,4.0,0,16,0.0,-256.00035221778177,0.0,130.89265160947932,130.89265160947932,-2.8926516094793158
leakage,8.0,0,16,0.0,-256.00035221778177,0.0,146.2773448166126,146.2773448166126,-18.27734481661261
uniform,0.0,0,16,0.0,-256.00035221778177,0.0,128.02255312407473,128.02255312407473,-0.022553124074732978
leakage,0.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.83007499855769,180.0,-52.0
leakage,0.25,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.58774153486912,179.75766653631143,-51.75766653631143
leakage,0.5,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.4022345485446,179.5721595499869,-51.57215954998691
leakage,1.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.19871491700019,179.3686399184425,-51.36863991844251
leakage,2.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.43887499646588,179.6087999979082,-51.60879999790819
leakage,4.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,117.32944130577272,182.49936630721504,-54.49936630721504
leakage,8.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,131.47318137091045,196.64310637235275,-68.64310637235275
uniform,0.0,2,0,32.584962500721154,65.16992500144231,65.16992500144231,114.83007499855769,180.0,-52.0
leakage,0.0,2,1,32.584977176499386,49.16991766360918,49.16991766360918,114.8314258092139,164.00134347282307,-36.001343472823066
